profile,instance_id,recommendation,reason,postgresql_median_ms,fuseki_median_ms,measured_winner,match,latency_regret_ms,warning
Q1,q1_all_decades,postgresql,SQL expresses the grouped tabular aggregation directly,195.928,107.374,fuseki,False,88.554,
Q1,q1_db_yearly,postgresql,SQL expresses the grouped tabular aggregation directly,48.827,32.691,fuseki,False,16.136,
Q1,q1_ai_yearly,postgresql,SQL expresses the grouped tabular aggregation directly,120.927,62.673,fuseki,False,58.254,
Q2,q2_db_min3,postgresql,SQL expresses the grouped tabular aggregation directly,447.625,79961.916,postgresql,True,0.0,
Q2,q2_db_min5,postgresql,SQL expresses the grouped tabular aggregation directly,1279.571,40997.54,postgresql,True,0.0,
Q3,q3_direct_depth2,fuseki,the query contains bounded or variable-length graph traversal,13702.02,9595.665,fuseki,True,0.0,
Q3,q3_pvldb_distance3_depth4,fuseki,the query contains bounded or variable-length graph traversal,7425.19,69292.682,postgresql,False,61867.492,
Q3,q3_pvldb_distance3_depth2,fuseki,the query contains bounded or variable-length graph traversal,201.38,71.192,fuseki,True,0.0,
Q3,q3_pvldb_out_of_reach,fuseki,the query contains bounded or variable-length graph traversal,7477.796,69166.749,postgresql,False,61688.953,
Q4,q4_moderate_min1,fuseki,the query contains bounded or variable-length graph traversal,1361.659,8811.496,postgresql,False,7449.837,
Q4,q4_moderate_min2,fuseki,the query contains bounded or variable-length graph traversal,1832.208,8795.446,postgresql,False,6963.238,
Q5,q5_dm_min1,fuseki,the query follows a declared research-area hierarchy,360.182,575.404,postgresql,False,215.222,
Q5,q5_ai_min2,fuseki,the query follows a declared research-area hierarchy,695.858,380.298,fuseki,True,0.0,
