query_family,instance_id,backend,scale,dataset_sha256,correctness_passed,median_ms,min_ms,max_ms,runs
Q1,q1_ai_yearly,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,62.673,61.649,64.339,5
Q1,q1_ai_yearly,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,120.927,120.527,122.564,5
Q1,q1_all_decades,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,107.374,106.605,111.850,5
Q1,q1_all_decades,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,195.928,195.182,198.029,5
Q1,q1_db_yearly,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,32.691,31.346,36.647,5
Q1,q1_db_yearly,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,48.827,48.804,49.244,5
Q2,q2_db_min3,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,79961.916,79814.645,81821.906,5
Q2,q2_db_min3,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,447.625,442.986,455.663,5
Q2,q2_db_min5,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,40997.540,40754.401,41027.815,5
Q2,q2_db_min5,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,1279.571,1275.637,1288.258,5
Q3,q3_direct_depth2,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,9595.665,9563.216,9625.624,5
Q3,q3_direct_depth2,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,13702.020,13660.254,13730.029,5
Q3,q3_pvldb_distance3_depth2,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,71.192,70.547,74.328,5
Q3,q3_pvldb_distance3_depth2,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,201.380,200.617,207.172,5
Q3,q3_pvldb_distance3_depth4,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,69292.682,68871.505,69761.556,5
Q3,q3_pvldb_distance3_depth4,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,7425.190,7420.650,7431.297,5
Q3,q3_pvldb_out_of_reach,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,69166.749,68997.585,70261.565,5
Q3,q3_pvldb_out_of_reach,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,7477.796,7468.187,7481.473,5
Q4,q4_moderate_min1,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,8811.496,8785.642,8849.315,5
Q4,q4_moderate_min1,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,1361.659,1348.548,1367.326,5
Q4,q4_moderate_min2,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,8795.446,8789.917,8843.161,5
Q4,q4_moderate_min2,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,1832.208,1830.115,1838.379,5
Q5,q5_ai_min2,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,380.298,377.432,398.823,5
Q5,q5_ai_min2,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,695.858,695.179,702.573,5
Q5,q5_dm_min1,fuseki,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,575.404,568.468,581.388,5
Q5,q5_dm_min1,postgresql,full,e8d99993c461f36fa2a4c1114e74f5d3a50b8932cfced775110ba4afdd0c0c08,true,360.182,357.505,362.314,5
