query_family,instance_id,backend,archived_median_ms,controlled_median_ms,controlled_to_archived_ratio
Q1,q1_ai_yearly,fuseki,62.673,141.887,2.264
Q1,q1_ai_yearly,postgresql,120.927,115.817,0.958
Q1,q1_all_decades,fuseki,107.374,204.131,1.901
Q1,q1_all_decades,postgresql,195.928,209.574,1.070
Q1,q1_db_yearly,fuseki,32.691,100.736,3.081
Q1,q1_db_yearly,postgresql,48.827,49.465,1.013
Q2,q2_db_min3,fuseki,79961.916,138693.932,1.734
Q2,q2_db_min3,postgresql,447.625,508.687,1.136
Q2,q2_db_min5,fuseki,40997.540,79677.175,1.943
Q2,q2_db_min5,postgresql,1279.571,1429.086,1.117
Q3,q3_direct_depth2,fuseki,9595.665,21725.391,2.264
Q3,q3_direct_depth2,postgresql,13702.020,14771.384,1.078
Q3,q3_pvldb_distance3_depth2,fuseki,71.192,122.124,1.715
Q3,q3_pvldb_distance3_depth2,postgresql,201.380,215.111,1.068
Q3,q3_pvldb_distance3_depth4,fuseki,69292.682,110097.174,1.589
Q3,q3_pvldb_distance3_depth4,postgresql,7425.190,8368.978,1.127
Q3,q3_pvldb_out_of_reach,fuseki,69166.749,101906.540,1.473
Q3,q3_pvldb_out_of_reach,postgresql,7477.796,7893.591,1.056
Q4,q4_moderate_min1,fuseki,8811.496,19097.812,2.167
Q4,q4_moderate_min1,postgresql,1361.659,1490.132,1.094
Q4,q4_moderate_min2,fuseki,8795.446,35070.092,3.987
Q4,q4_moderate_min2,postgresql,1832.208,3289.884,1.796
Q5,q5_ai_min2,fuseki,380.298,1437.111,3.779
Q5,q5_ai_min2,postgresql,695.858,902.041,1.296
Q5,q5_dm_min1,fuseki,575.404,1488.390,2.587
Q5,q5_dm_min1,postgresql,360.182,406.087,1.127
