query_family,instance_id,backend,scale,dataset_sha256,correctness_passed,median_ms,min_ms,max_ms,runs
Q1,q1_ai_yearly,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,141.887,129.389,210.917,5
Q1,q1_ai_yearly,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,115.817,113.635,139.011,5
Q1,q1_all_decades,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,204.131,131.462,228.005,5
Q1,q1_all_decades,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,209.574,207.760,258.577,5
Q1,q1_db_yearly,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,100.736,67.171,106.811,5
Q1,q1_db_yearly,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,49.465,47.752,53.025,5
Q2,q2_db_min3,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,138693.932,100373.258,144702.508,5
Q2,q2_db_min3,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,508.687,477.046,553.683,5
Q2,q2_db_min5,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,79677.175,69865.411,81931.349,5
Q2,q2_db_min5,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,1429.086,1354.699,1499.057,5
Q3,q3_direct_depth2,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,21725.391,12064.459,23464.240,5
Q3,q3_direct_depth2,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,14771.384,14512.568,15776.396,5
Q3,q3_pvldb_distance3_depth2,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,122.124,81.399,173.704,5
Q3,q3_pvldb_distance3_depth2,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,215.111,211.753,220.828,5
Q3,q3_pvldb_distance3_depth4,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,110097.174,101895.732,124496.245,5
Q3,q3_pvldb_distance3_depth4,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,8368.978,7924.572,8698.965,5
Q3,q3_pvldb_out_of_reach,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,101906.540,95767.038,143948.531,5
Q3,q3_pvldb_out_of_reach,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,7893.591,7859.147,8122.547,5
Q4,q4_moderate_min1,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,19097.812,11340.653,22846.371,5
Q4,q4_moderate_min1,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,1490.132,1426.398,1862.998,5
Q4,q4_moderate_min2,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,35070.092,21753.183,53679.422,5
Q4,q4_moderate_min2,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,3289.884,2769.483,5534.352,5
Q5,q5_ai_min2,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,1437.111,1340.231,1540.585,5
Q5,q5_ai_min2,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,902.041,783.580,957.821,5
Q5,q5_dm_min1,fuseki,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,1488.390,1444.274,1611.605,5
Q5,q5_dm_min1,postgresql,full,3e8b08752eecf0fff56f5b1bcf1fcad0bbb717d9d40e0a169761569e53050e4c,true,406.087,372.886,479.923,5
